Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Michael Valverde","TEX",0.039,0.0592,0,6.16581,1,0,0,0,,1,4.822,1.0706,0.7271,0.68509,0.159222,0.8128,0.0293,0.053,0.7022,6.3198,7.3152,0.863927,1.433,0.145624,0.168561,-0.022936537861824036,0.270613,1.8834,0.294489,0.696361,0.396906,,6.39803,-0.0215819,-0.0495392,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Michael Valverde","sa3022157",814275
"Kenny Leiner","BAL",0.0401,0.0581,0,6.10506,1,0,0,0,,1,4.824,1.108,0.7239,0.67834,0.145778,0.8075,0.0293,0.0495,0.6475,5.8275,7.2675,0.801858,1.312,0.134225,0.167392,-0.03316749632358551,0.279304,1.9155,0.303184,0.696268,0.457059,,6.30625,-0.0215831,-0.0495964,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Kenny Leiner","sa3025354",828666
"Ben Serunkuma",,0.0388,0.0593,0,6.19245,1,0,0,0,,1,4.778,1.1036,0.7292,0.68805,0.165,0.7413,0.029,0.0442,0.6514,5.8626,6.6717,0.878727,1.485,0.136333,0.155149,-0.01881539821624756,0.276418,1.8449,0.29552,0.691307,0.387992,,6.33384,-0.0215883,-0.0470323,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Ben Serunkuma","sa3019627",805205
"Yordy Herrera","STL",0.0402,0.058,0,5.74614,1,0,0,0,,1,4.794,1.0566,0.6806,0.63846,0.140778,0.792,0.0291,0.057,0.6753,6.0777,7.128,0.852652,1.267,0.140864,0.165207,-0.02434292435646057,0.267833,1.8486,0.292696,0.707231,0.399128,,6.16165,-0.0215979,-0.0484581,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Yordy Herrera","sa3019643",800277
"Dominic Scheffler","CIN",0.0381,0.0601,0,6.32385,1,0,0,0,,1,4.904,1.0993,0.7475,0.70265,0.156,0.8912,0.0298,0.052,0.6716,6.0444,8.0208,0.753591,1.404,0.136949,0.181729,-0.04477977752685547,0.277545,1.9905,0.301066,0.701428,0.435037,,6.64954,-0.0215988,-0.0417901,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Dominic Scheffler","sa3023599",807636
"Charles Harrison","STL",0.0394,0.0588,0,5.95197,1,0,0,0,,1,4.771,1.0922,0.7038,0.66133,0.149556,0.75,0.029,0.0433,0.6474,5.8266,6.75,0.8632,1.346,0.135695,0.1572,-0.021504923701286316,0.274581,1.8422,0.29636,0.697198,0.407718,,6.16446,-0.0216195,-0.0484487,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Charles Harrison","sa3023668",801422
"Horacio Andujar",,0.0389,0.0592,0,6.17274,1,0,0,0,,1,4.721,1.1437,0.7268,0.68586,0.174667,0.6383,0.0286,0.0444,0.5585,5.0265,5.7447,0.87498,1.572,0.118301,0.135204,-0.016903206706047058,0.283213,1.782,0.29319,0.686324,0.387005,,6.3369,-0.0216219,-0.0470323,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Horacio Andujar","sa3010370",682810
"Seth Nightingale",,0.0389,0.0593,0,6.16257,1,0,0,0,,1,4.803,1.1162,0.7285,0.68473,0.152444,0.7618,0.0291,0.0527,0.6114,5.5026,6.8562,0.802573,1.372,0.127295,0.158609,-0.03131374716758728,0.279855,1.878,0.298871,0.690565,0.426996,,6.33761,-0.0216297,-0.0470323,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Seth Nightingale","sa3020877",804587
"Ismael Michel",,0.0389,0.0592,0,6.16509,1,0,0,0,,1,4.785,1.0896,0.7262,0.68501,0.163444,0.7586,0.029,0.0474,0.6695,6.0255,6.8274,0.882547,1.471,0.139916,0.158537,-0.018620699644088745,0.273838,1.8482,0.294386,0.692859,0.387003,,6.33891,-0.0216439,-0.0470323,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Ismael Michel","sa3016270",699330
"Michael Vilchez",,0.039,0.0592,0,6.14961,1,0,0,0,,1,4.776,1.1051,0.7251,0.68329,0.162444,0.7271,0.029,0.0569,0.6291,5.6619,6.5439,0.865218,1.462,0.131721,0.15224,-0.020519256591796875,0.276829,1.8322,0.294538,0.689877,0.399003,,6.34071,-0.0216636,-0.0470323,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Michael Vilchez","sa3016605",699074
"Luis Sánchez","BAL",0.0399,0.0582,0,6.1803,1,0,0,0,,1,4.803,1.0966,0.7293,0.6867,0.160444,0.7722,0.0291,0.0568,0.6969,6.2721,6.9498,0.902486,1.444,0.145097,0.160775,-0.015677690505981445,0.275944,1.8688,0.300372,0.693052,0.41454,,6.31411,-0.0216697,-0.0495964,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Luis Sanchez","sa3015219",693783
"Jordarlin Mendoza","NYY",0.0401,0.0654,0.0131,6.09732,0.7469,0.0539,0,0,,1,4.795,1.101,0.7208,0.67748,0.166222,0.7413,0.0215,0.0572,0.638,5.742,6.6717,0.86065,1.496,0.133055,0.154599,-0.021543264389038086,0.275491,1.8423,0.292825,0.696762,0.420605,,6.41553,-0.0216706,-0.0499752,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Jordarlin Mendoza","sa3017321",702212
"Jholbran Herder","LAD",0.04,0.07,0.0185,6.38676,0.5877,0.0877,0,0,,1,4.722,1.2051,0.754,0.70964,0.186333,0.5901,0.0166,0.0549,0.4571,4.1139,5.3109,0.774615,1.677,0.0968022,0.124968,-0.0281660333275795,0.295585,1.7952,0.296708,0.678601,0.438945,,6.57827,-0.0217044,-0.0461189,999,,,,,,,1.8000000000000003,1.8000000000000003,2,2,,,,,,,,,,,,,,,,,,,"Jholbran Herder","sa3019272",800408
"Douglas Orellana","NYM",0.4835,0.4975,0,4.26467,10,0,0,0.7048,,10,43.649,9.2172,5.0957,4.73852,1.32222,4.8313,0.2649,0.3946,9.4805,8.53245,4.34817,1.96231,1.19,0.217199,0.110685,0.10651334375143051,0.239887,1.40485,0.285839,0.733993,0.393466,,4.5257,-0.0217116,0.00873959,999,,,,,,,45.300000000000004,4.53,44,4.4,8.84,6.48,5.18,4.27,3.57,2.99,2.47,1.97,1.45,5.41,5.1,4.88,4.7,4.54,4.39,4.23,4.05,3.82,"Douglas Orellana","sa3016817",702878
"Jake Faherty","MIA",0.0374,0.0608,0,6.13404,1,0,0,0,,1,4.861,1.0595,0.7254,0.68156,0.140778,0.8688,0.0295,0.0656,0.7189,6.4701,7.8192,0.827463,1.267,0.147891,0.178729,-0.030837267637252808,0.269826,1.9283,0.299558,0.694831,0.425231,,6.33065,-0.0217223,-0.0449385,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Jake Faherty","sa3025331",801619
"Ethan Bell","CHC",0.04,0.0581,0,5.97312,1,0,0,0,,1,4.78,1.0533,0.7064,0.66368,0.151222,0.8113,0.029,0.044,0.71,6.39,7.3017,0.875139,1.361,0.148536,0.169728,-0.021192476153373718,0.268377,1.8646,0.294462,0.700713,0.412332,,6.24693,-0.0217603,-0.0476476,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Ethan Bell","sa3067260",809754
"Felipe Bello",,0.0387,0.0595,0,6.22602,1,0,0,0,,1,4.751,1.1674,0.7349,0.69178,0.165556,0.66,0.0288,0.0426,0.5228,4.7052,5.94,0.792121,1.49,0.11004,0.138918,-0.02887813001871109,0.288361,1.8274,0.298164,0.684686,0.417004,,6.34956,-0.0217605,-0.0470323,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Felipe Bello","sa3020084",806593
"Wuardo Fernandez",,0.0388,0.0594,0,6.18354,1,0,0,0,,1,4.812,1.1137,0.7308,0.68706,0.152111,0.7739,0.0292,0.0528,0.6212,5.5908,6.9651,0.802688,1.369,0.129094,0.160827,-0.031733155250549316,0.279452,1.8876,0.299375,0.690773,0.426001,,6.35028,-0.0217684,-0.0470323,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Wuardo Fernandez","sa3006521",681732
