Player,Position,Age,Prev_Team,Prev_AAV,Market_Value,Arm,Type,AAV_cost
Amed Rosario,SS,30.0,NYY,"$2,000,000 ","$3,124,210 ",R,UFA,2000000.0
Luke Weaver,RP,32.2,NYY,"$2,000,000 ","$9,927,131 ",R,UFA,2000000.0
Trent Thornton,RP,32.1,SEA,"$2,000,000 ",,,,2000000.0
Rob Refsnyder,RF,34.6,BOS,"$2,000,000 ","$4,250,071 ",R,UFA,2000000.0
Mike Tauchman,RF,34.9,CHW,"$1,950,000 ",,,,1950000.0
Randy Dobnak,SP,30.8,DET,"$1,850,000 ",,R,UFA,1850000.0
Andy Ibanez,2B,32.6,DET,"$1,825,000 ",,,,1825000.0
Austin Slater,LF,32.9,NYY,"$1,750,000 ","$2,625,129 ",R,UFA,1750000.0
John King,RP,31.2,STL,"$1,605,000 ",,,,1605000.0
Reese McGuire,C,30.7,CHC,"$1,500,000 ",,,,1500000.0
Drew Pomeranz,RP,37.0,CHC,"$1,500,000 ","$2,199,859 ",L,UFA,1500000.0
Brad Keller,SP,30.2,CHC,"$1,500,000 ","$1,756,433 ",R,UFA,1500000.0
Mike Clevinger,RP,34.9,CHW,"$1,500,000 ",,R,UFA,1500000.0
Miguel Castro,RP,30.9,CHW,"$1,500,000 ",,R,UFA,1500000.0
Colin Holderman,RP,30.1,PIT,"$1,500,000 ",,,,1500000.0
Tayler Saucedo,RP,32.4,SEA,"$1,500,000 ",,,,1500000.0
Josh Sborz,RP,31.9,TEX,"$1,400,000 ",,,,1400000.0
Sam Hentges,RP,29.3,CLE,"$1,377,500 ",,,,1377500.0
Adrian Houser,SP,32.8,TB,"$1,375,000 ","$10,294,613 ",R,UFA,1375000.0
Nick Madrigal,2B,28.7,NYM,"$1,350,000 ",,R,UFA,1350000.0
Jalen Beeks,RP,32.3,ARI,"$1,250,000 ","$1,052,945 ",L,UFA,1250000.0
Shawn Armstrong,RP,35.2,TEX,"$1,250,000 ","$3,953,000 ",R,UFA,1250000.0
Jacob Webb,RP,32.2,TEX,"$1,250,000 ",,,,1250000.0
Taylor Clarke,RP,32.5,KC,"$1,000,000 ",,,,1000000.0
Ildemaro Vargas,2B,34.3,ARI,"$1,000,000 ",,S,UFA,1000000.0
Sean Newcomb,RP,32.4,ATH,"$1,000,000 ","$1,698,178 ",L,UFA,1000000.0
Shelby Miller,RP,35.1,MIL,"$1,000,000 ","$1,202,784 ",R,UFA,1000000.0
José Urquidy,SP,30.5,DET,"$1,000,000 ",,R,UFA,1000000.0
John Means,SP,32.6,CLE,"$1,000,000 ",,L,UFA,1000000.0
Paul DeJong,3B,32.2,WSH,"$1,000,000 ","$789,771 ",R,UFA,1000000.0
Drew Smith,RP,32.2,NYM,"$1,000,000 ",,R,UFA,1000000.0
Ty France,1B,31.3,TOR,"$1,000,000 ","$1,666,178 ",R,UFA,1000000.0
Tim Mayza,RP,33.8,PIT,"$976,876 ","$781,992 ",L,UFA,976876.0
Dylan Carlson,CF,27.1,BAL,"$975,000 ",,S,UFA,975000.0
Eli Morgan,RP,29.5,CHC,"$950,000 ",,,,950000.0
Dominic Smith,1B,30.4,SF,"$943,548 ",,L,UFA,943548.0
Ian Hamilton,RP,30.4,NYY,"$941,050 ",,,,941050.0
Tyler Wade,SS,31.0,SD,"$900,000 ",,L,UFA,900000.0
Scott Effross,RP,31.8,NYY,"$900,000 ",,,,900000.0
Joey Lucchesi,RP,32.4,SF,"$854,839 ",,,,854839.0
Tanner Rainey,RP,32.9,DET,"$850,000 ",,,,850000.0
